[2 0]
[0 2]
   2*alpha[0] + 4*alpha[1], 2
   4*alpha[0] + 11*alpha[1], 13
   11*alpha[0] + 4*alpha[1], 13
   3*alpha[0] + 2*alpha[1], 2
   7*alpha[0] + 3*alpha[1], 6
   8*alpha[0] + 5*alpha[1], 63
   alpha[0], 1
   7*alpha[0] + 6*alpha[1], 106
   5*alpha[0] + 6*alpha[1], 36
   4*alpha[0] + 4*alpha[1], 8
   2*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 7*alpha[1], 106
   alpha[0] + 4*alpha[1], 1
   2*alpha[0] + 7*alpha[1], 1
   8*alpha[0] + 6*alpha[1], 151
   3*alpha[0] + 5*alpha[1], 6
   7*alpha[0] + 4*alpha[1], 20
   10*alpha[0] + 3*alpha[1], 2
   6*alpha[0] + 8*alpha[1], 151
   7*alpha[0] + 8*alpha[1], 321
   alpha[0] + 3*alpha[1], 1
   4*alpha[0] + 9*alpha[1], 20
   6*alpha[0] + 6*alpha[1], 64
   5*alpha[0] + 2*alpha[1], 2
   3*alpha[0] + 9*alpha[1], 3
   6*alpha[0] + 5*alpha[1], 36
   4*alpha[0] + 8*alpha[1], 20
   7*alpha[0] + 7*alpha[1], 195
   7*alpha[0] + 5*alpha[1], 50
   6*alpha[0] + 2*alpha[1], 1
   3*alpha[0] + 11*alpha[1], 1
   5*alpha[0] + 9*alpha[1], 72
   4*alpha[0] + alpha[1], 1
   2*alpha[0] + 3*alpha[1], 2
   8*alpha[0] + 4*alpha[1], 20
   3*alpha[0] + 6*alpha[1], 6
   4*alpha[0] + 2*alpha[1], 2
   5*alpha[0] + 8*alpha[1], 63
   10*alpha[0] + 4*alpha[1], 16
   8*alpha[0] + 7*alpha[1], 321
   7*alpha[0] + 2*alpha[1], 1


[ 2 -5]
[-5  2]
   5*alpha[0] + 5*alpha[1], 25
   9*alpha[0] + 4*alpha[1], 35
   4*alpha[0] + 3*alpha[1], 5
