[2 0]
[0 2]
   5*alpha[0] + 7*alpha[1], 61
   5*alpha[0] + 4*alpha[1], 14
   alpha[0] + 2*alpha[1], 1
   2*alpha[0] + 9*alpha[1], 1
   4*alpha[0] + 10*alpha[1], 35
   8*alpha[0] + 3*alpha[1], 9
   6*alpha[0] + 4*alpha[1], 19
   alpha[0] + 5*alpha[1], 1
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 14
   9*alpha[0] + 6*alpha[1], 276
   11*alpha[0] + 3*alpha[1], 5
   2*alpha[0] + 6*alpha[1], 2
   3*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 5*alpha[1], 3
   3*alpha[0] + 4*alpha[1], 5
   6*alpha[0] + 9*alpha[1], 276
   9*alpha[0] + 5*alpha[1], 108
   5*alpha[0] + 10*alpha[1], 130
   3*alpha[0] + 12*alpha[1], 3
   4*alpha[0] + 6*alpha[1], 19
   10*alpha[0] + 5*alpha[1], 130
   4*alpha[0] + 7*alpha[1], 26
   5*alpha[0] + 3*alpha[1], 7
   3*alpha[0] + alpha[1], 1
   6*alpha[0] + 3*alpha[1], 8
   2*alpha[0] + 8*alpha[1], 1
   2*alpha[0] + alpha[1], 1
   3*alpha[0] + 8*alpha[1], 9
   5*alpha[0] + alpha[1], 1
   3*alpha[0] + 10*alpha[1], 7
   alpha[1], 1
   9*alpha[0] + 3*alpha[1], 8
   3*alpha[0] + 7*alpha[1], 9
   2*alpha[0] + 4*alpha[1], 2
   4*alpha[0] + 11*alpha[1], 35
   11*alpha[0] + 4*alpha[1], 35
   3*alpha[0] + 2*alpha[1], 2
   7*alpha[0] + 3*alpha[1], 9
   8*alpha[0] + 5*alpha[1], 84
   alpha[0], 1
   7*alpha[0] + 6*alpha[1], 125
   5*alpha[0] + 6*alpha[1], 41
   4*alpha[0] + 4*alpha[1], 8
   8*alpha[0] + 2*alpha[1], 1
   2*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 7*alpha[1], 125
   alpha[0] + 4*alpha[1], 1
   12*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 7*alpha[1], 2
   8*alpha[0] + 6*alpha[1], 190
   3*alpha[0] + 5*alpha[1], 7
   7*alpha[0] + 4*alpha[1], 26
   10*alpha[0] + 3*alpha[1], 7
   6*alpha[0] + 8*alpha[1], 190
   7*alpha[0] + 8*alpha[1], 395
   alpha[0] + 3*alpha[1], 1
   4*alpha[0] + 9*alpha[1], 35
   6*alpha[0] + 6*alpha[1], 73
   5*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 9*alpha[1], 8
   6*alpha[0] + 5*alpha[1], 41
   4*alpha[0] + 8*alpha[1], 30
   7*alpha[0] + 7*alpha[1], 232
   7*alpha[0] + 5*alpha[1], 61
   6*alpha[0] + 2*alpha[1], 2
   3*alpha[0] + 11*alpha[1], 5
   5*alpha[0] + 9*alpha[1], 108
   9*alpha[0] + 2*alpha[1], 1
   4*alpha[0] + alpha[1], 1
   2*alpha[0] + 3*alpha[1], 2
   8*alpha[0] + 4*alpha[1], 30
   3*alpha[0] + 6*alpha[1], 8
   4*alpha[0] + 2*alpha[1], 2
   5*alpha[0] + 8*alpha[1], 84
   10*alpha[0] + 4*alpha[1], 35
   8*alpha[0] + 7*alpha[1], 395
   7*alpha[0] + 2*alpha[1], 2


[ 2 -6]
[-6  2]
   5*alpha[0] + 5*alpha[1], 25
   9*alpha[0] + 4*alpha[1], 45
   4*alpha[0] + 3*alpha[1], 5
   5*alpha[0] + 7*alpha[1], 65
   5*alpha[0] + 4*alpha[1], 14
   alpha[0] + 2*alpha[1], 1
   2*alpha[0] + 9*alpha[1], 2
   4*alpha[0] + 10*alpha[1], 50
   8*alpha[0] + 3*alpha[1], 12
   6*alpha[0] + 4*alpha[1], 20
   alpha[0] + 5*alpha[1], 1
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 14
   9*alpha[0] + 6*alpha[1], 312
   11*alpha[0] + 3*alpha[1], 11
   2*alpha[0] + 6*alpha[1], 3
   3*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 5*alpha[1], 3
   3*alpha[0] + 4*alpha[1], 5
   6*alpha[0] + 9*alpha[1], 312
   9*alpha[0] + 5*alpha[1], 128
   5*alpha[0] + 10*alpha[1], 165
   3*alpha[0] + 12*alpha[1], 9
   4*alpha[0] + 6*alpha[1], 20
   10*alpha[0] + 5*alpha[1], 165
   alpha[0] + 6*alpha[1], 1
   4*alpha[0] + 7*alpha[1], 29
   5*alpha[0] + 3*alpha[1], 7
   3*alpha[0] + alpha[1], 1
   6*alpha[0] + 3*alpha[1], 9
   2*alpha[0] + 8*alpha[1], 2
   2*alpha[0] + alpha[1], 1
   3*alpha[0] + 8*alpha[1], 12
   5*alpha[0] + alpha[1], 1
   3*alpha[0] + 10*alpha[1], 12
   alpha[1], 1
   9*alpha[0] + 3*alpha[1], 12
   3*alpha[0] + 7*alpha[1], 11
   2*alpha[0] + 4*alpha[1], 2
   4*alpha[0] + 11*alpha[1], 56
   11*alpha[0] + 4*alpha[1], 56
   3*alpha[0] + 2*alpha[1], 2
   7*alpha[0] + 3*alpha[1], 11
   8*alpha[0] + 5*alpha[1], 94
   alpha[0], 1
   7*alpha[0] + 6*alpha[1], 131
   5*alpha[0] + 6*alpha[1], 42
   4*alpha[0] + 4*alpha[1], 8
   8*alpha[0] + 2*alpha[1], 2
   2*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 7*alpha[1], 131
   alpha[0] + 4*alpha[1], 1
   12*alpha[0] + 3*alpha[1], 9
   2*alpha[0] + 7*alpha[1], 3
   8*alpha[0] + 6*alpha[1], 206
   3*alpha[0] + 5*alpha[1], 7
   7*alpha[0] + 4*alpha[1], 29
   2*alpha[0] + 10*alpha[1], 1
   10*alpha[0] + 3*alpha[1], 12
   6*alpha[0] + 8*alpha[1], 206
   7*alpha[0] + 8*alpha[1], 421
   alpha[0] + 3*alpha[1], 1
   4*alpha[0] + 9*alpha[1], 45
   6*alpha[0] + 6*alpha[1], 75
   5*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 9*alpha[1], 12
   6*alpha[0] + 5*alpha[1], 42
   4*alpha[0] + 8*alpha[1], 36
   7*alpha[0] + 7*alpha[1], 243
   11*alpha[0] + 2*alpha[1], 1
   7*alpha[0] + 5*alpha[1], 65
   6*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 11*alpha[1], 11
   5*alpha[0] + 9*alpha[1], 128
   9*alpha[0] + 2*alpha[1], 2
   4*alpha[0] + alpha[1], 1
   2*alpha[0] + 3*alpha[1], 2
   8*alpha[0] + 4*alpha[1], 36
   3*alpha[0] + 6*alpha[1], 9
   4*alpha[0] + 2*alpha[1], 2
   5*alpha[0] + 8*alpha[1], 94
   10*alpha[0] + 4*alpha[1], 50
   8*alpha[0] + 7*alpha[1], 421
   7*alpha[0] + 2*alpha[1], 3
   6*alpha[0] + alpha[1], 1
   10*alpha[0] + 2*alpha[1], 1
   2*alpha[0] + 11*alpha[1], 1


[ 2 -7]
[-7  2]
   5*alpha[0] + 5*alpha[1], 25
   9*alpha[0] + 4*alpha[1], 51
   4*alpha[0] + 3*alpha[1], 5
   5*alpha[0] + 7*alpha[1], 66
   5*alpha[0] + 4*alpha[1], 14
   alpha[0] + 2*alpha[1], 1
   2*alpha[0] + 9*alpha[1], 3
   4*alpha[0] + 10*alpha[1], 60
   8*alpha[0] + 3*alpha[1], 14
   6*alpha[0] + 4*alpha[1], 20
   alpha[0] + 5*alpha[1], 1
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 14
   9*alpha[0] + 6*alpha[1], 327
   11*alpha[0] + 3*alpha[1], 16
   2*alpha[0] + 6*alpha[1], 3
   3*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 5*alpha[1], 3
   3*alpha[0] + 4*alpha[1], 5
   6*alpha[0] + 9*alpha[1], 327
   9*alpha[0] + 5*alpha[1], 138
   5*alpha[0] + 10*alpha[1], 185
   3*alpha[0] + 12*alpha[1], 15
   4*alpha[0] + 6*alpha[1], 20
   10*alpha[0] + 5*alpha[1], 185
   alpha[0] + 6*alpha[1], 1
   2*alpha[0] + 13*alpha[1], 1
   4*alpha[0] + 7*alpha[1], 30
   5*alpha[0] + 3*alpha[1], 7
   3*alpha[0] + alpha[1], 1
   6*alpha[0] + 3*alpha[1], 9
   2*alpha[0] + 8*alpha[1], 3
   2*alpha[0] + alpha[1], 1
   3*alpha[0] + 8*alpha[1], 14
   5*alpha[0] + alpha[1], 1
   3*alpha[0] + 10*alpha[1], 16
   alpha[1], 1
   9*alpha[0] + 3*alpha[1], 15
   3*alpha[0] + 7*alpha[1], 12
   2*alpha[0] + 4*alpha[1], 2
   4*alpha[0] + 11*alpha[1], 71
   11*alpha[0] + 4*alpha[1], 71
   3*alpha[0] + 2*alpha[1], 2
   7*alpha[0] + 3*alpha[1], 12
   8*alpha[0] + 5*alpha[1], 98
   alpha[0], 1
   7*alpha[0] + 6*alpha[1], 132
   5*alpha[0] + 6*alpha[1], 42
   4*alpha[0] + 4*alpha[1], 8
   8*alpha[0] + 2*alpha[1], 3
   2*alpha[0] + 12*alpha[1], 1
   2*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 7*alpha[1], 132
   alpha[0] + 4*alpha[1], 1
   12*alpha[0] + 3*alpha[1], 15
   2*alpha[0] + 7*alpha[1], 4
   8*alpha[0] + 6*alpha[1], 211
   3*alpha[0] + 5*alpha[1], 7
   alpha[0] + 7*alpha[1], 1
   7*alpha[0] + 4*alpha[1], 30
   2*alpha[0] + 10*alpha[1], 2
   10*alpha[0] + 3*alpha[1], 16
   6*alpha[0] + 8*alpha[1], 211
   7*alpha[0] + 8*alpha[1], 428
   alpha[0] + 3*alpha[1], 1
   4*alpha[0] + 9*alpha[1], 51
   6*alpha[0] + 6*alpha[1], 75
   13*alpha[0] + 2*alpha[1], 1
   5*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 9*alpha[1], 15
   6*alpha[0] + 5*alpha[1], 42
   4*alpha[0] + 8*alpha[1], 39
   7*alpha[0] + 7*alpha[1], 245
   11*alpha[0] + 2*alpha[1], 2
   7*alpha[0] + 5*alpha[1], 66
   6*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 11*alpha[1], 16
   5*alpha[0] + 9*alpha[1], 138
   9*alpha[0] + 2*alpha[1], 3
   12*alpha[0] + 2*alpha[1], 1
   4*alpha[0] + alpha[1], 1
   2*alpha[0] + 3*alpha[1], 2
   8*alpha[0] + 4*alpha[1], 39
   3*alpha[0] + 6*alpha[1], 9
   4*alpha[0] + 2*alpha[1], 2
   5*alpha[0] + 8*alpha[1], 98
   10*alpha[0] + 4*alpha[1], 60
   7*alpha[0] + alpha[1], 1
   8*alpha[0] + 7*alpha[1], 428
   7*alpha[0] + 2*alpha[1], 4
   6*alpha[0] + alpha[1], 1
   10*alpha[0] + 2*alpha[1], 2
   2*alpha[0] + 11*alpha[1], 2


[ 2 -8]
[-8  2]
   5*alpha[0] + 5*alpha[1], 25
   9*alpha[0] + 4*alpha[1], 54
   4*alpha[0] + 3*alpha[1], 5
   5*alpha[0] + 7*alpha[1], 66
   5*alpha[0] + 4*alpha[1], 14
   alpha[0] + 2*alpha[1], 1
   2*alpha[0] + 9*alpha[1], 4
   4*alpha[0] + 10*alpha[1], 66
   8*alpha[0] + 3*alpha[1], 15
   6*alpha[0] + 4*alpha[1], 20
   alpha[0] + 5*alpha[1], 1
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 14
   9*alpha[0] + 6*alpha[1], 332
   11*alpha[0] + 3*alpha[1], 20
   2*alpha[0] + 6*alpha[1], 3
   3*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 5*alpha[1], 3
   3*alpha[0] + 4*alpha[1], 5
   8*alpha[0] + alpha[1], 1
   6*alpha[0] + 9*alpha[1], 332
   9*alpha[0] + 5*alpha[1], 142
   5*alpha[0] + 10*alpha[1], 195
   3*alpha[0] + 12*alpha[1], 20
   4*alpha[0] + 6*alpha[1], 20
   10*alpha[0] + 5*alpha[1], 195
   alpha[0] + 6*alpha[1], 1
   2*alpha[0] + 13*alpha[1], 2
   4*alpha[0] + 7*alpha[1], 30
   5*alpha[0] + 3*alpha[1], 7
   3*alpha[0] + alpha[1], 1
   6*alpha[0] + 3*alpha[1], 9
   2*alpha[0] + 8*alpha[1], 4
   2*alpha[0] + alpha[1], 1
   3*alpha[0] + 8*alpha[1], 15
   5*alpha[0] + alpha[1], 1
   3*alpha[0] + 10*alpha[1], 19
   alpha[1], 1
   9*alpha[0] + 3*alpha[1], 17
   3*alpha[0] + 7*alpha[1], 12
   2*alpha[0] + 4*alpha[1], 2
   4*alpha[0] + 11*alpha[1], 81
   11*alpha[0] + 4*alpha[1], 81
   3*alpha[0] + 2*alpha[1], 2
   7*alpha[0] + 3*alpha[1], 12
   8*alpha[0] + 5*alpha[1], 99
   alpha[0], 1
   7*alpha[0] + 6*alpha[1], 132
   5*alpha[0] + 6*alpha[1], 42
   4*alpha[0] + 4*alpha[1], 8
   alpha[0] + 8*alpha[1], 1
   8*alpha[0] + 2*alpha[1], 4
   2*alpha[0] + 12*alpha[1], 2
   2*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 7*alpha[1], 132
   alpha[0] + 4*alpha[1], 1
   12*alpha[0] + 3*alpha[1], 20
   2*alpha[0] + 7*alpha[1], 4
   8*alpha[0] + 6*alpha[1], 212
   3*alpha[0] + 5*alpha[1], 7
   alpha[0] + 7*alpha[1], 1
   7*alpha[0] + 4*alpha[1], 30
   2*alpha[0] + 10*alpha[1], 3
   10*alpha[0] + 3*alpha[1], 19
   6*alpha[0] + 8*alpha[1], 212
   7*alpha[0] + 8*alpha[1], 429
   alpha[0] + 3*alpha[1], 1
   4*alpha[0] + 9*alpha[1], 54
   6*alpha[0] + 6*alpha[1], 75
   13*alpha[0] + 2*alpha[1], 2
   5*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 9*alpha[1], 17
   6*alpha[0] + 5*alpha[1], 42
   4*alpha[0] + 8*alpha[1], 40
   7*alpha[0] + 7*alpha[1], 245
   11*alpha[0] + 2*alpha[1], 3
   7*alpha[0] + 5*alpha[1], 66
   6*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 11*alpha[1], 20
   5*alpha[0] + 9*alpha[1], 142
   9*alpha[0] + 2*alpha[1], 4
   12*alpha[0] + 2*alpha[1], 2
   4*alpha[0] + alpha[1], 1
   2*alpha[0] + 3*alpha[1], 2
   8*alpha[0] + 4*alpha[1], 40
   3*alpha[0] + 6*alpha[1], 9
   4*alpha[0] + 2*alpha[1], 2
   5*alpha[0] + 8*alpha[1], 99
   10*alpha[0] + 4*alpha[1], 66
   7*alpha[0] + alpha[1], 1
   8*alpha[0] + 7*alpha[1], 429
   7*alpha[0] + 2*alpha[1], 4
   6*alpha[0] + alpha[1], 1
   10*alpha[0] + 2*alpha[1], 3
   2*alpha[0] + 11*alpha[1], 3


[ 2 -9]
[-9  2]
   5*alpha[0] + 5*alpha[1], 25
   9*alpha[0] + 4*alpha[1], 55
   4*alpha[0] + 3*alpha[1], 5
   5*alpha[0] + 7*alpha[1], 66
   5*alpha[0] + 4*alpha[1], 14
   alpha[0] + 2*alpha[1], 1
   2*alpha[0] + 9*alpha[1], 5
   4*alpha[0] + 10*alpha[1], 69
   8*alpha[0] + 3*alpha[1], 15
   6*alpha[0] + 4*alpha[1], 20
   alpha[0] + 5*alpha[1], 1
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 14
   9*alpha[0] + 6*alpha[1], 333
   11*alpha[0] + 3*alpha[1], 23
   2*alpha[0] + 6*alpha[1], 3
   3*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 5*alpha[1], 3
   3*alpha[0] + 4*alpha[1], 5
   alpha[0] + 9*alpha[1], 1
   8*alpha[0] + alpha[1], 1
   6*alpha[0] + 9*alpha[1], 333
   9*alpha[0] + 5*alpha[1], 143
   5*alpha[0] + 10*alpha[1], 199
   3*alpha[0] + 12*alpha[1], 24
   4*alpha[0] + 6*alpha[1], 20
   10*alpha[0] + 5*alpha[1], 199
   alpha[0] + 6*alpha[1], 1
   2*alpha[0] + 13*alpha[1], 3
   4*alpha[0] + 7*alpha[1], 30
   5*alpha[0] + 3*alpha[1], 7
   3*alpha[0] + alpha[1], 1
   6*alpha[0] + 3*alpha[1], 9
   2*alpha[0] + 8*alpha[1], 4
   2*alpha[0] + alpha[1], 1
   3*alpha[0] + 8*alpha[1], 15
   5*alpha[0] + alpha[1], 1
   3*alpha[0] + 10*alpha[1], 21
   alpha[1], 1
   9*alpha[0] + 3*alpha[1], 18
   3*alpha[0] + 7*alpha[1], 12
   2*alpha[0] + 4*alpha[1], 2
   4*alpha[0] + 11*alpha[1], 87
   11*alpha[0] + 4*alpha[1], 87
   3*alpha[0] + 2*alpha[1], 2
   7*alpha[0] + 3*alpha[1], 12
   8*alpha[0] + 5*alpha[1], 99
   alpha[0], 1
   7*alpha[0] + 6*alpha[1], 132
   5*alpha[0] + 6*alpha[1], 42
   4*alpha[0] + 4*alpha[1], 8
   alpha[0] + 8*alpha[1], 1
   8*alpha[0] + 2*alpha[1], 4
   2*alpha[0] + 12*alpha[1], 3
   2*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 7*alpha[1], 132
   alpha[0] + 4*alpha[1], 1
   12*alpha[0] + 3*alpha[1], 24
   2*alpha[0] + 7*alpha[1], 4
   8*alpha[0] + 6*alpha[1], 212
   3*alpha[0] + 5*alpha[1], 7
   alpha[0] + 7*alpha[1], 1
   7*alpha[0] + 4*alpha[1], 30
   2*alpha[0] + 10*alpha[1], 4
   10*alpha[0] + 3*alpha[1], 21
   6*alpha[0] + 8*alpha[1], 212
   7*alpha[0] + 8*alpha[1], 429
   alpha[0] + 3*alpha[1], 1
   4*alpha[0] + 9*alpha[1], 55
   6*alpha[0] + 6*alpha[1], 75
   13*alpha[0] + 2*alpha[1], 3
   5*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 9*alpha[1], 18
   6*alpha[0] + 5*alpha[1], 42
   4*alpha[0] + 8*alpha[1], 40
   7*alpha[0] + 7*alpha[1], 245
   11*alpha[0] + 2*alpha[1], 4
   7*alpha[0] + 5*alpha[1], 66
   6*alpha[0] + 2*alpha[1], 3
   3*alpha[0] + 11*alpha[1], 23
   5*alpha[0] + 9*alpha[1], 143
   9*alpha[0] + 2*alpha[1], 5
   12*alpha[0] + 2*alpha[1], 3
   4*alpha[0] + alpha[1], 1
   2*alpha[0] + 3*alpha[1], 2
   8*alpha[0] + 4*alpha[1], 40
   3*alpha[0] + 6*alpha[1], 9
   4*alpha[0] + 2*alpha[1], 2
   9*alpha[0] + alpha[1], 1
   5*alpha[0] + 8*alpha[1], 99
   10*alpha[0] + 4*alpha[1], 69
   7*alpha[0] + alpha[1], 1
   8*alpha[0] + 7*alpha[1], 429
   7*alpha[0] + 2*alpha[1], 4
   6*alpha[0] + alpha[1], 1
   10*alpha[0] + 2*alpha[1], 4
   2*alpha[0] + 11*alpha[1], 4


[  2 -10]
[-10   2]
   5*alpha[0] + 5*alpha[1], 25
   9*alpha[0] + 4*alpha[1], 55
   4*alpha[0] + 3*alpha[1], 5
   5*alpha[0] + 7*alpha[1], 66
   5*alpha[0] + 4*alpha[1], 14
   alpha[0] + 2*alpha[1], 1
   2*alpha[0] + 9*alpha[1], 5
   4*alpha[0] + 10*alpha[1], 70
   8*alpha[0] + 3*alpha[1], 15
   6*alpha[0] + 4*alpha[1], 20
   alpha[0] + 5*alpha[1], 1
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 14
   9*alpha[0] + 6*alpha[1], 333
   11*alpha[0] + 3*alpha[1], 25
   2*alpha[0] + 6*alpha[1], 3
   3*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 5*alpha[1], 3
   3*alpha[0] + 4*alpha[1], 5
   alpha[0] + 9*alpha[1], 1
   8*alpha[0] + alpha[1], 1
   6*alpha[0] + 9*alpha[1], 333
   9*alpha[0] + 5*alpha[1], 143
   5*alpha[0] + 10*alpha[1], 200
   3*alpha[0] + 12*alpha[1], 27
   4*alpha[0] + 6*alpha[1], 20
   10*alpha[0] + 5*alpha[1], 200
   alpha[0] + 6*alpha[1], 1
   2*alpha[0] + 13*alpha[1], 4
   4*alpha[0] + 7*alpha[1], 30
   5*alpha[0] + 3*alpha[1], 7
   3*alpha[0] + alpha[1], 1
